Generated_SELFIES	Generated_SMILES	Ground_Truth_SELFIES
[C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][N][Branch1][=Branch1][C][=Branch1][C][=O][Branch2][Ring1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][C][F][C][C][C][=Branch1][C][=O][N].[O]	COC1=CC=C(C=C1)C=C=NC=O.O	[C][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][C][C][C][C][Ring1][Branch1][=O][C][=Branch1][C][=O][O-1].[O].[O].[Na+1]
[C][C][C][C@@H1][Branch2][Branch1][C][C][C@][Branch1][C][C@H1][Branch2][Ring2][#Branch1][C][Ring1][=Branch1][C][C][C][C@H1][Branch1][C][C][C][C][C][C][C][C][C][C][C][Branch1][C][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][=O][O][Ring1][C][C][C][C][Branch1][N][C][C][C][C][Branch1][N][C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][O][C]	CCC1[C@@H1]C[C@]([C@H1])C1CCC[C@H1](C)CCCCCCCCC(C)(O)NC(C=O)CCCCC2CCC(C=C2)OCOC	[C][O][C][=C][Branch2][Branch1][S][C@@H1][Branch2][Branch1][O][C@][Branch2][Ring2][P][C][C][=Branch1][Branch1][=N][O][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][C][C][N][C][=Branch1][C][=O][C][=N][O][C@][Branch1][Ring2][C][Ring1][Branch1][C][=C][Branch1][=N][C][=Branch1][C][=O][C@@H1][Branch1][Branch1][C@H1][Ring1][Branch2][O][Br][Br][C][=C][Ring2][Ring2][C][Br][O][Br]
[C][C][=Branch1][C][=O][O][C][=C][C][=Branch1][=Branch1][=C][Ring1][=Branch1][O][O]	CC(=O)OC=CC=COO	[C][C][=C][C][=Branch1][C][=O][C][=Branch1][C][=O][C][=C][Ring1][Branch2][O]
[C][C][=Branch1][C][=O][O][C@@H1][=C][C@][Branch2][Branch1][=Branch1][C][=C][C][=Branch1][C][=O][C][C][C][C@@H1][C@@H1][C@@][Ring1][Ring2][Branch2][Ring1][Branch2][C][Branch2][Ring1][Ring2][C][Ring1][=Branch1][=C][C][=C][C][=C][C][=C][C@@][Ring1][#Branch1][Branch1][Branch1][C][Ring1][Branch1][O][C][=Branch1][C][=O][C][C][C][Ring1][Branch1][Branch1][C][C]	CC(=O)O[C@@H1]=C[C@]C=CC(=O)CCC12[C@@H1][C@@H1][C@@]1(CC2=CC3=CC=C4C=C[C@@]3C4O)C(=O)CCCC	[C][C][=Branch1][C][=O][O][C@@H1][C][C@@H1][C@][Branch1][=C][C][=C][C][=Branch1][C][=O][C][Ring1][#Branch1][Branch1][C][C][C][Branch2][Ring2][Ring1][C@@H1][C@@][Ring1][=N][Branch2][Ring1][O][C][=C][C][=Branch1][C][=O][C@@H1][Branch1][O][C@@][Ring1][=Branch1][Branch1][Branch1][C][C][Ring1][#Branch2][C][C][=C][O][C][=C][Ring1][Branch1][C][C]
[C][C][Branch1][C][C][C][C][=Branch1][C][=O][O][C][C@H1][Branch2][Ring2][Branch2][Ring2][Ring1][C@][Branch2][Ring2][Branch1][C][C][C][C][C@@][Branch2][Ring2][=Branch2][C@@H1][Ring1][Branch1][C@@][Ring1][=Branch1][C][C][C@@][Branch1][S][C@@H1][Branch1][=Branch1][C][C][C][C][Ring1][=Branch1][Branch1][C][=C][C][C][Branch1][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O]	C1C(C)CC(=O)OC[C@H1]1CCCCCCCCC(=O)O	[C][C][=Branch2][Branch1][=N][=C][C][C][C@H1][Branch2][Ring2][P][C@H1][C@@H1][Branch2][Ring2][O][C][C@@][Branch2][Ring2][Branch1][C@@][Ring1][Branch1][Branch2][Ring1][=C][C][C][C][=C][Ring1][=Branch1][C][C][C@H1][Branch1][=C][C@][Ring1][=Branch1][Branch1][C][C][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=C][C][C][C][O][C][=Branch1][C][=O][O][C]
[C][C][C][C][C][C][N][C][=O][C][C]	CCCCCCNC=O	[C][C][C][C][N][C][=O]
[C][Branch1][O][C][C][C][C][C][C][C@H1][Branch1][#Branch1][C][C][=Branch1][C][=O][O][O]	C(CCCCCC[C@H1]CC(=O)O)O	[C][Branch1][=C][C][C][C][C@H1][Branch1][#Branch1][C][C][=Branch1][C][=O][O][O][C][C][C][O]
[C][C][N][Branch1][=N][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][S][Ring1][Branch2][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][O][N]	C1C2N(C=CC(=C2)S1C)C=O	[C][C][=Branch1][C][=O][N][C][=C][Branch2][Ring1][=Branch1][C][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][S][Ring1][O][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][N][O]
[C][Branch2][Branch1][S][C@@H1][C@H1][Branch2][Branch1][=N][C@@H1][Branch2][Branch1][N][C@H1][Branch2][Ring2][#Branch1][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@@H1][C@H1][Branch2][Ring2][Ring1][O][C@H1][Branch1][=Branch2][O][C@H1][Branch1][Branch1][C@H1][Ring1][=Branch1][C][N][C][O][O][O][C@H1][C@@H1][Branch1][P][O][C@H1][Branch1][=N][C@H1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][O]	C1[C@@H1]2[C@H1][C@@H1][C@H1]([C@@H1](O2)O[C@@H1][C@H1]3O[C@H1](O[C@H1][C@H1]3C)NCOOO[C@H1][C@@H1]O[C@H1][C@H1]1COOO)OO	[C][Branch2][Branch1][#C][C@@H1][C@H1][Branch2][Branch1][=Branch2][C@@H1][Branch2][Branch1][Ring2][C@H1][Branch2][Ring2][#C][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@@H1][C@H1][Branch2][Ring1][P][O][C@H1][Branch1][=Branch2][C@@H1][Branch1][Branch1][C@H1][Ring1][=Branch1][O][N][O][C@@H1][C@H1][Branch1][=C][O][C][Branch1][=Branch2][C@@H1][Branch1][Branch1][C@H1][Ring1][=Branch1][O][N][O][C][O][C][O][N][O][O][O]
[C][Branch1][#Branch2][C][Branch1][=Branch1][C][=Branch1][C][=O][O][N][C][=O][O]	C(C(C(=O)O)N)C=O	[C][Branch1][#C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][N][C][=Branch1][C][=O][N][C][=Branch1][C][=O][O]
[C][C][=Branch1][C][=O][N][C][=C][C][S][C][=C][Branch2][Ring1][=Branch2][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][Branch1][Ring2][C][O-1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][O]	CC(=O)NC=CCSC1=C(C2=CC=C1C(=C2)C=C(C[O-1])OC3=CC=C)C=C3O	[C][C@@H1][Branch2][Ring1][#Branch2][N][=C][Branch1][Ring2][S][Ring1][Branch1][C][=N][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][#Branch1][O][C][=Branch1][C][=O][O-1]
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O]	CCCCCCCCCCCCCCCCCCCC(=O)O	[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][Branch1][#Branch2][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O]
[C][C@][C][C][C][=Branch1][C][=O][C][C@@H1][Ring1][#Branch1][C][C][C@@H1][C@@H1][Ring1][O][C@H1][Branch2][Ring1][=Branch2][C@H1][C@][Ring1][C][C][C][C][C@][Ring1][C][=Branch1][C][=O][O][C][C@H1][C@@H1][Branch1][S][C@@H1][Branch1][S][Branch1][N][C@H1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][C]	C1[C@]23CCC(=O)C[C@@H1]2CC[C@@H1][C@@H1]3[C@H1][C@H1]=[C@]CCC=[C@](O)OC[C@H1][C@@H1][C@@H1]N[C@H1]1COOOC	[C][C@][C][C][C@H1][Branch2][Ring1][#Branch2][C][C@H1][Ring1][=Branch1][C][C][C@@H1][C@@H1][Ring1][#Branch2][C][C][C@][Branch1][#Branch2][C@H1][Ring1][=Branch1][C][C][C][Ring1][Branch1][=O][C][O][C@H1][C@@H1][Branch2][Ring1][Ring2][C@H1][Branch1][S][C@@H1][Branch1][N][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][=Branch1][C][=O][O][O][O][O]
[C][C@H1][C@@H1][Branch2][=Branch2][P][C][C@H1][Branch2][=Branch2][#C][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][S][=Branch1][C][=O][C][C][C][C][N][C][=O][N][C][=Branch1][C][=O][C@@H1][Branch2][=Branch1][Ring2][Ring2][C][Branch1][C][C][Branch1][C][C][Branch1][C][C][=Branch1][C][=O][C][O][P][O][P][=Branch1][C][=O][Branch1][C][O][O][C][=O][Branch1][C][O][C][C@H1][Branch2][Ring1][N][C@@H1][Ring1][Branch2][C@@H1][#Branch1][C@@H1][Branch1][Ring2][O][Ring1][Branch1][N][C][=N][C][=C][Branch1][Branch1][=Branch2][N][=C][N][=C][Ring1][=Branch1][Ring1][=Branch2][O][N][O][P][O][P][=Branch1][C][=O][O][Branch1][C][O][C][O][O][O][O]	C[C@H1]1[C@@H1]C[C@H1][C@@H1](O1)OCCCCCCCCCC(=O)S(=O)CCCCNC=O	[C][C@H1][C@@H1][Branch2][Branch2][=C][C][C@H1][Branch2][Branch2][Branch2][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C][C][C][C][C][C][=Branch1][C][=O][S][C][C][N][C][=Branch1][C][=O][C][C][N][C][=Branch1][C][=O][C@@H1][Branch2][=Branch1][Ring2][C][Branch1][C][C][Branch1][C][C][C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C@@H1][C@H1][Branch2][Ring1][N][C@H1][Branch2][Ring1][#Branch1][C@@H1][Branch1][Ring2][O][Ring1][Branch1][N][C][=N][C][=C][Branch1][=Branch2][N][=C][N][=C][Ring1][=Branch1][Ring1][=Branch2][N][O][O][P][=Branch1][C][=O][Branch1][C][O][O][O][O][O]
[C][C][C][C][C][C][C][C][=C][Ring1][=Branch1]	CCCC1CCCC=C1	[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][=Branch1][C][C][C][Ring1][Branch2][Branch1][C][C][C]
[C][S][=Branch1][C][=O][O][Branch2][=C][P][C@@H1][Branch2][=N][=Branch1][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@H1][C@@H1][Branch2][Ring1][C][O][C@H1][Branch2][=C][Branch1][C@@H1][Branch1][Branch1][O][C@@H1][Ring1][=Branch1][=Branch1][C][=O][O][O][C@@H1][C@H1][Branch2][=Branch2][#C][C@H1][Branch2][=N][#Branch2][C@@H1][Branch1][Ring2][O][Ring1][Branch1][O][O][C@H1][C@@H1][C@H1][Branch2][=C][=C][C@@H1][Branch1][=Branch2][C@H1][Branch1][Branch1][C@H1][Ring1][=Branch1][O][O][O][O][C][C][O][C@@H1][C@H1][Branch2][#Branch1][#Branch1][C@@H1][Branch2][Ring2][C@@H1][Branch2][N][Branch2][C@H1][Branch1][Branch2][Ring1][C@@H1][Branch2][Ring1][Ring1][O][Branch1][Ring2][O][C@H1][C@H1][C@H1][Branch1][=N][C@@H1][Branch1][Branch2][C@@H1][Branch1][Ring2][O][Ring1][C][O][C][O][O][C@@H1][C@H1][Branch2][Ring2][Ring1][C@H1][Branch2][P][Branch2][Ring1][Ring2][C@@H1][Branch1][Branch1][O][Branch1][C@@H1][C][C@@H1][C@H1][C@H1][Branch1][O][O][C@@H1][Ring2][O][Branch1][O][C@H1][Branch1][O][O][Branch1][Ring2][Ring1][O][O][O][P][C@@H1][Branch1][C@H1][O][Branch1][C@@H1][=Branch2][C][Ring1][Branch1][O][C@H1][O][O][C@H1][C][C][O][O][Branch1][Branch1][O][C@H1][C@@H1][C@@H1][C][O][Branch1][Ring1][C@@H1][C][Branch1][O][O][O][C@@H1][=Branch2][=Branch1][N][Branch1][O][C@@H1][O][Branch1][C@@H1][C@H1][O][O][C][O][C][Branch1][C][Ring1][O][O][O][C][O][O][Branch1][O][O][O][O][O][C][C][O]	CS(=O)OCP[C@@H1]([C@@H1](O)O[C@H1][C@@H1]1O[C@H1][C@@H1](O[C@@H1]1)C=O)OOOCCO	[C][S][C][C@@H1][C@@H1][Branch2][#Branch2][O][C@H1][Branch2][#Branch2][=Branch1][C@H1][Branch1][Ring2][O][Ring1][Branch1][O][C@@H1][C@H1][Branch2][=Branch2][Branch2][O][C@@H1][Branch1][=Branch2][C@H1][Branch1][Branch1][C@H1][Ring1][=Branch1][O][O][O][C][C@@H1][C@H1][Branch2][Branch2][Ring2][C@@H1][Branch2][#Branch1][#C][C@@H1][Branch1][Ring2][O][Ring1][Branch1][O][C@H1][C@@H1][Branch2][#Branch1][C][C@H1][Branch2][=Branch1][N][O][C@@H1][Ring1][Branch1][O][C][C@@H1][C@H1][Branch2][Ring1][=C][C@@H1][Branch2][Ring1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][Branch1][O][C][C@@H1][C@H1][Branch1][N][C@@H1][Branch1][Branch2][C][Branch1][Ring2][O][Ring1][Branch1][O][O][O][O][O][C@@H1][C@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][Branch1][C][O][O][O][C@H1][C@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][Branch1][C][O][O][O][C][O][O][O][O][C][O][O][O]
[C][C@H1][Branch2][=Branch1][N][C@@H1][Branch2][=Branch1][C][C@H1][Branch2][=Branch1][=Branch1][C@@H1][Branch1][=Branch1][C][C@H1][Ring1][O][O][C@@H1][Branch2][Branch1][S][C][C@@H1][Branch1][#Branch1][C@H1][Branch2][Ring1][#C][O][O][C][=Branch1][C][=O][O][C@@H1][C@H1][Branch2][Ring1][Branch1][C@H1][Branch1][P][C@@H1][Branch1][=Branch2][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][C][O][C][=Branch1][C][=O][C][=C][Ring1][Branch1][Branch1][C][C][=Branch1][C][=O][N][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][O][O]	C1[C@H1]([C@@H1][C@H1][C@@H1](C[C@H1]1O)[C@@H1]C[C@@H1]([C@H1]OOC(=O)O[C@@H1]2[C@H1][C@H1][C@@H1]([C@@H1](O2)CO)OCOC=O)C=CCC(=O)NC=CC=CC(=O)O)OO	[C][C@H1][/C][=C][/C][=C][/C][C][/C][=C][/C][=C][/C][=C][/C][=C][/C][Branch2][=Branch1][=N][C][C][C][Branch2][=Branch1][C][C][Branch2][Branch1][=N][C][C@][Branch1][Ring2][O][Ring1][=Branch1][Branch2][Branch1][C][C][C][Branch2][Ring2][N][C][Branch2][Ring2][#Branch1][C][C][C][Branch2][Ring1][S][C][C][Branch2][Ring1][#Branch2][C][C][Branch2][Ring1][Ring2][C][C][=Branch1][C][=O][O][C@H1][Branch1][#Branch2][C@@H1][Branch1][=Branch1][C@@H1][Ring2][Ring2][Branch2][O][C][C][O][O][O][O][O][O][O][C][=Branch1][C][=O][O][O][C@@H1][C@H1][Branch1][S][C@H1][Branch1][N][C@@H1][Branch1][Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][N][O]
[C][=C][Branch1][=C][C][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][O][O][C][=Branch1][C][=O][C][=Branch1][C][=O][C][=C][Branch1][=N][C][=C][Branch1][Ring2][O][Ring1][=Branch1][O][Ring1][O][O][O][C][C@@H1][Ring2][C@H1][Branch1][S][C][=C][C][=Branch1][N][=C][Ring1][=Branch1][C][=O][O][O][O]	C1=C(C=C(C(=C1O)O)O)OC(=O)C(=O)C=C(C=C(O)O)C[C@@H1]2SC=CC=C2C=O	[C][=C][Branch1][=C][C][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][O][C][=C][Branch2][Ring2][S][C][=Branch1][C][=O][C][=C][Branch1][Ring2][O][Ring1][#Branch1][C][=C][Branch2][Ring1][#C][C][=C][Ring1][#Branch1][O][C@H1][C@@H1][Branch2][Ring1][Ring2][C@H1][Branch1][S][C@@H1][Branch1][N][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][=Branch1][C][=O][O][O][O][O][O][O]
[C][C][Branch1][C][C][C][C][C][=C][Branch1][O][C][=C][Ring1][=Branch1][C][=C][Branch2][Ring1][=C][C][=Branch2][Ring1][Branch1][=C][O][Ring1][#Branch1][O][C][=C][C][=C][Branch1][Branch1][C][Ring1][=Branch1][Branch1][O][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][C][O][C][=C][Branch1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1]	CC(C)C1CC=C(C2=C1C=CC(=CO2)C(=O)C)COC=CC3=CC=CC=C3	[C][C][=C][Branch2][Branch1][=N][C][=C][Branch2][Ring2][=Branch1][C][=C][Ring1][=Branch1][O][C][=C][Branch1][=Branch2][C@@H1][Ring1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][C][Branch1][#Branch2][C][=Branch1][Branch1][=C][Ring1][O][C][O][C][Branch1][C][C][C][O][C@@H1][Branch1][#Branch1][C][C][Ring2][Ring1][=Branch2][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][O]
[C][N][C][=Branch1][C][=O][C][C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][#Branch2][=O][C][=C][Branch1][O][C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][N][C][=C][C][Ring2][Ring1][O]	C1NC(=O)CCC=CC2=CC=C3C=C2C(=O)C3C=CC=CNC=CC1	[C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][C][=C][Branch2][Ring1][#Branch1][C][=Branch1][#Branch2][=C][C][Ring1][=Branch1][=N][C][=C][Ring1][#Branch2][O][C][C][Branch1][Branch1][C][C][Ring1][Ring1][N][O][C]
[C][N][C][=C][Branch1][Branch1][C][=C][C][=C][Ring1][=Branch1][C][C][N][Ring1][=Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C]	C1NC=C1C=CC=C	[C][C][=Branch1][C][=O][C][C@@H1][C][C][C][N][Ring1][Branch1][C]
[C][C][C@H1][Branch1][=Branch1][C][C][Ring1][Branch1][C][=Branch1][C][=O][N][Ring2][C][=C][Branch1][#Branch2][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][N][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1]	C1C[C@H1](CC1C)C=O	[C][C@@H1][Branch2][Ring1][Branch1][C@@H1][Branch1][N][C@H1][Branch1][Ring2][N][Ring1][Branch1][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][=Branch1][N][C][Ring1][=Branch1][=O][C][=Branch1][C][=O][O]
